코드,군사특기명,입영계획유무
K121101,K계열전차승무,있음
K121102,M계열전차승무,있음
K122101,K계열전차부대정비,없음
K122102,K계열전차포탑정비,없음
K122103,M계열전차부대정비,없음
K122104,M계열전차포탑정비,없음
K122105,전차통신정비,있음
K123101,장갑차조종,있음
K123102,장갑차부대정비,있음
K123103,K-21보병전투차량승무,있음
K123104,K-21보병전투차량부대정비,있음
K131101,견인포병,없음
K131102,155mm 견인포병,없음
K131103,155mm자주포병,없음
K131104,K-55자주포조종,있음
K131105,견인포정비,없음
K131106,K-55자주포정비,없음
K131107,K-9자주포조종,있음
K131108,K-9자주포화포/장갑정비,없음
K132101,다련장운용/정비,없음
K132102,K239포병,있음
K132103,M/A포병,있음
K133101,M/A사격지휘전산,없음
K133103,사격지휘,있음
K133104,155mm사격지휘,없음
K133105,로켓포 사격지휘,없음
K133106,포병레이더,있음
K133107,포병측지,있음
K133108,포병탐지레이더,없음
K133109,자동측지운용/정비,없음
K134101,현무포병,있음
K134102,현무사격통제장비운용/정비,없음
K135101,포병기상,없음
K141101,발칸운용/정비,있음
K141102,오리콘운용/정비,있음
K141103,비호운용/정비,있음
K141104,방공작전통제,있음
K141105,휴대용유도무기운용/정비,있음
K141106,천마운용/정비,있음
K141107,천호운용/정비,있음
K142101,발칸정비,없음
K142102,오리콘정비,없음
K142103,비호정비,없음
K142104,천마정비,없음
K143101,방공레이더운용/정비,있음
K151101,군사정보,있음
K151102,심리전,없음
K151103,정찰,없음
K152101,신호정보/전자전운용,있음
K152102,전자전운용,없음
K152103,땅굴탐지,있음
K153101,감시장비운용,있음
K154101,보안,없음
K156101,드론운용및정비병,없음
K161101,야전공병,없음
K161102,장애물운용(M),없음
K161103,장애물운용(E),없음
K161104,야전건설,없음
K162101,측량,없음
K162102,소방장비,있음
K162103,배관/기계설비,있음
K162104,전기설비,있음
K163101,장갑전투도저운전,있음
K163102,다목적굴착기운전,있음
K163103,교량전차조종,없음
K163104,도하장비조종,있음
K163105,정수장비운용,있음
K163107,공기압축기운용,있음
K163108,크레인운용,있음
K163109,도저운용,없음
K163110,그레이더운용,없음
K163111,롤러운용,없음
K163112,로더운전,있음
K163113,굴착기운용,없음
K163114,발전기운용/정비,있음
K163115,공병장비부대정비,없음
K163116,장애물개척전차조종,없음
K171101,전술통신장비운용/정비,있음
K171102,무선전송장비운용/정비,있음
K171103,무선장비운용/정비,없음
K171104,이동통신장비운용/정비,있음
K171105,정보통신망관리장비운용/정비,있음
K171106,영상음향장비운용/정비,없음
K171107,교환시설운용/정비,있음
K171108,기록통신장비운용/정비,없음
K172101,M/W운용/정비,있음
K172102,위성운용/정비,있음
K173101,암호운용,없음
K174101,레이다운용/정비,있음
K175101,네트워크운용/정비,있음
K175102,전술C4I운용/정비,있음
K175103,정보체계운용/정비,있음
K181101,항공운항/관제,있음
K182101,공격헬기정비,없음
K182102,중형공격헬기정비,없음
K182103,대형공격헬기정비,없음
K182104,기동헬기운용,있음
K182105,중형기동헬기정비,없음
K182106,대형기동헬기정비,없음
K182107,기동헬기정비,없음
K182108,헬기기관정비,없음
K182109,헬기계기정비,없음
K182110,헬기무장정비,없음
K182111,항공통신전자정비,없음
K211101,화생방,없음
K211102,연막,없음
K211103,화생방제독,있음
K211104,화생방정찰,있음
K221101,대공포/유도무기정비,없음
K221102,로켓무기정비,있음
K221103,유도무기정비,없음
K222101,총기정비,있음
K222102,화포정비,있음
K222103,광학기재정비,있음
K222104,감시장비정비,있음
K222105,전차정비,있음
K222106,K계열전차사격기재정비,없음
K222107,M계열전차정비,없음
K222108,M계열전차사격기재정비,없음
K222109,자주포야전정비,있음
K222113,K-9자주포정비,없음
K222114,장갑차야전정비,있음
K223101,유선장비정비,있음
K223102,기록통신장비정비,없음
K223103,무선장비정비,있음
K223104,다중무선장비정비,있음
K223105,BTCS정비,없음
K223106,특수통신장비정비,있음
K223107,전자전장비정비,없음
K223108,보안장비정비,없음
K224101,차량정비,있음
K224102,공병장비정비,있음
K224103,발전기정비,있음
K224104,용접/기계공작,있음
K224105,병참장비정비,없음
K224106,화생방장비정비,있음
K224107,의무장비정비,있음
K225101,탄약관리,있음
K225102,탄약검사,없음
K225103,탄약처리지원,없음
K226101,장비수리부속공구보급,있음
K231101,편성보급,있음
K231102,영현등록,있음
K231103,지원보급,있음
K231104,연료관리,있음
K231106,물자근무지원,있음
K231107,조리,있음
K241100,수송운용(차량운전),있음
K241104,견인차량운전,있음
K241105,지게차운전,있음
K241106,차륜형장갑차운전,있음
K241107,차량부대정비,있음
K241108,K-53계열차량운전,있음
K241109,구난차량운전,있음
K241113,크레인차량운전,있음
K242101,전장이동통제,있음
K243101,항만운용,있음
K243102,선박운용,있음
K311101,일반행정,없음
K321101,군사경찰,있음
K331101,재정회계,있음
K341101,공보정훈,없음
K341102,영상제작,없음
K341103,사진운용/정비,없음
K411101,일반의무,있음
K411103,수의,있음
K411108,의무보급,있음
K412101,전문간호,있음
K412102,전문치과,있음
K412103,전문임상병리,있음
K412104,전문방사선촬영,있음
K412105,전문약제,있음
K412106,전문물리치료,있음
K461101,법무행정,없음
KM161104,야전건설(중졸),없음
KM162103,배관 및 기계설비(중졸),있음
KM162104,전기설비(중졸),있음
KM163113,굴삭기운전(중졸),없음
KM224104,용접/기계공작(중졸),있음
KM231107,조리(중졸),있음
KM241100,차량운전(중졸),있음
KM241104,견인차량운전(중졸),있음
KM241105,물자취급장비운전(중졸),있음
KM241107,차량부대정비(중졸),있음
KM241109,구난차량운전(중졸),있음
KM243102,선박운용(중졸),있음