구분,자격증구분,점수
직접관련,선택하세요,0
직접관련,국가기술자격증(기사이상),50
직접관련,국가기술자격증(산업기사),45
직접관련,국가기술자격증(기능사),40
직접관련,"일학습병행자격증(L6,L5)",50
직접관련,"일학습병행자격증(L4,L3)",45
직접관련,일학습병행자격증(L2),40
직접관련,일반자격증(공인),30
직접관련,일반자격증(일반),26
직접관련,자격증 미소지,20
간접관련,국가기술자격증(기사이상),40
간접관련,국가기술자격증(산업기사),35
간접관련,국가기술자격증(기능사),30
간접관련,"일학습병행자격증(L6,L5)",40
간접관련,"일학습병행자격증(L4,L3)",35
간접관련,일학습병행자격증(L2),30
간접관련,일반자격증(공인),25
간접관련,일반자격증(일반),25
간접관련,자격증 미소지,20
대학교,선택하세요,0
대학교,4학년 수료이상,40
대학교,4학년 재학,38
대학교,3학년 수료,36
대학교,3학년 재학,34
대학교,2학년 수료,32
대학교,2학년 재학,30
대학교,1학년 수료,28
대학교,1학년 재학,26
대학교,비전공,20
전문대,3학년 수료,40
전문대,3학년 재학,38
전문대,2학년 수료,36
전문대,2학년 재학,34
전문대,1학년 수료,32
전문대,1학년 재학,30
전문대,비전공,20
고졸,전공,36
고졸,비전공,20
기타,한국폴리텍 2년이상 수료,32
기타,한국폴리텍 1년이상 수료,30
기타,한국폴리텍 6개월이상 수료,26
기타,학점은행제 40점이상(학사),28
기타,학점은행제 40점이상(전문학사),32
기타,학점은행제 80점이상(학사),32
기타,학점은행제 80점이상(전문학사),36
기타,학점은행제 120점이상(학사),36
기타,학점은행제 120점이상(전문학사),40
기타,학점은행제 140점이상(학사),40
결석일,선택하세요,0
결석일,0일,10
결석일,1-2일,9
결석일,3-4일,8
결석일,5-6일,7
결석일,7일이상,6
가산점1,병역진로설계 지원자,1
가산점1,다자녀(3) 가정 자녀,4
가산점1,다자녀(2) 가정 자녀,2
가산점1,모집특기경력(6월~1년 미만),1
가산점1,모집특기경력(1년~2년 미만),2
가산점1,모집특기경력(2년이상),3
가산점1,질병치료에 따른 병역처분변경,4
가산점1,국외이주자 중 현역병복무지원자,4
가산점1,독립유공자 손.자녀 또는 국가유공자 자녀,4
가산점1,생계급여 수급권자,4
헌혈,선택하세요,0
헌혈,1회,1
헌혈,2회,2
헌혈,3회,3
헌혈,4회,4
헌혈,5회,5
헌혈,6회,6
헌혈,7회,7
헌혈,8회,8
봉사시간,선택하세요,0
봉사시간,8~15시간,1
봉사시간,16~23시간,2
봉사시간,24~31시간,3
봉사시간,31~39시간,4
봉사시간,40~47시간,5
봉사시간,48~55시간,6
봉사시간,56~63시간,7
봉사시간,64시간이상,8
,,